PersonType,Age,CityState,Injury,SafetyDevice,Date,Time,County,Location,Troop
ADULT,56,"ADMIRE, KS",SERIOUS,YES,2024-11-20,3:52PM,PLATTE,I-29 SOUTHBOUND AT MM 26.8,A
ADULT,71,"SHELBYVILLE, IL",MINOR,YES,2024-11-20,1:52PM,BATES,ROUTE BB NORTH OF ROUTE D,A
ADULT,63,"DALLAS, TX",MINOR,YES,2024-11-19,7:30PM,SALINE,EASTBOUND I-70 AT THE 81 MILE MARKER,A
ADULT,61,"DALLAS, TX",NO INJURY,YES,2024-11-19,7:30PM,SALINE,EASTBOUND I-70 AT THE 81 MILE MARKER,A
ADULT,62,"KNOB NOSTER, MO",MINOR,YES,2024-11-19,5:37PM,JOHNSON,NE 600TH RD ONE HALF MILE EAST OF NE 851ST RD,A
ADULT,18,"KNOB NOSTER, MO",NO INJURY,YES,2024-11-19,5:37PM,JOHNSON,NE 600TH RD ONE HALF MILE EAST OF NE 851ST RD,A
ADULT,30,"KANSAS CITY, MO",NO INJURY,YES,2024-11-19,8:21AM,PLATTE,I29 SOUTHBOUND 4.2 MM,A
JUVENILE,9,"KANSAS CITY, MO",MINOR,YES,2024-11-19,8:21AM,PLATTE,I29 SOUTHBOUND 4.2 MM,A
JUVENILE,2,"KANSAS CITY , MO",NO INJURY,YES,2024-11-19,8:21AM,PLATTE,I29 SOUTHBOUND 4.2 MM,A
ADULT,20,"KANSAS CITY, MO",NO INJURY,YES,2024-11-19,8:21AM,PLATTE,I29 SOUTHBOUND 4.2 MM,A
ADULT,74,"COLE CAMP, MO",MODERATE,YES,2024-11-18,5:40PM,PETTIS,ROUTE U AT SMASAL RD,A
ADULT,36,"BELTON, MO",MINOR,YES,2024-11-17,6:15PM,BATES,2812 SOUTHWEST CRD 6508,A
ADULT,20,"EXCELSIOR SPRINGS, MO",MINOR,YES,2024-11-17,1:55PM,CLAY,SOUTHBOUND I-35 AT MILE MARKER 20,A
ADULT,58,"KANSAS CITY, MO",NO INJURY,YES,2024-11-17,1:55PM,CLAY,SOUTHBOUND I-35 AT MILE MARKER 20,A
ADULT,20,"EXCELSIOR SPRINGS, MO",NO INJURY,YES,2024-11-17,1:55PM,CLAY,SOUTHBOUND I-35 AT MILE MARKER 20,A
JUVENILE,9,"BUTLER, MO",SERIOUS,NO,2024-11-17,9:58AM,BATES,CR 6002 1/2 MILE WEST OF BUS 49,A
JUVENILE,8,"BUTLER, MO",SERIOUS,NO,2024-11-17,9:58AM,BATES,CR 6002 1/2 MILE WEST OF BUS 49,A
ADULT,68,"BUTLER, MO",NO INJURY,NO,2024-11-17,9:58AM,BATES,CR 6002 1/2 MILE WEST OF BUS 49,A
ADULT,71,"CHILHOWEE, MO",NO INJURY,YES,2024-11-16,5:25PM,JOHNSON,MO 2 EAST OF CHILHOWEE,A
ADULT,71,"HOLDEN,MO",SERIOUS,NO,2024-11-16,5:25PM,JOHNSON,MO 2 EAST OF CHILHOWEE,A
ADULT,41,"KANSAS CITY, KS",MINOR,YES,2024-11-16,11:52AM,PLATTE,NB 29 JUST NORTH OF TIFFANY SPRINGS,A
ADULT,79,"KANSAS CITY, KS",MINOR,YES,2024-11-16,11:52AM,PLATTE,NB 29 JUST NORTH OF TIFFANY SPRINGS,A
ADULT,74,"BOSWORTH, MO",MINOR,YES,2024-11-16,10:40AM,CARROLL,CR 230 WEST OF MO 139,A
ADULT,61,"WARRENSBURG, MO",SERIOUS,NO,2024-11-16,6:47AM,JOHNSON,MO 23 SOUTH OF ROUTE PP,A
ADULT,63,"OAK GROVE, MO",MODERATE,YES,2024-11-15,5:14PM,JACKSON,ROUTE F AT CORN CEMETERY RD,A
ADULT,21,"CENTERVIEW, MO",NO INJURY,YES,2024-11-15,5:14PM,JACKSON,ROUTE F AT CORN CEMETERY RD,A
ADULT,73,"OAK GROVE, MO",FATAL,YES,2024-11-15,5:14PM,JACKSON,ROUTE F AT CORN CEMETERY RD,A
ADULT,86,"MARSHALL, MO",MINOR,YES,2024-11-15,12:45PM,SALINE,MO 41 AT NIMBLE DRIVE,A
