PersonType,Age,CityState,Injury,SafetyDevice,Date,Time,County,Location,Troop
ADULT,47,"FESTUS, MO",MODERATE,YES,2024-11-21,7:20AM,JEFFERSON,SOUTHBOUND METROPOLITAN BOULEVARD AT MONTICELLO ROAD,C
ADULT,18,"BARNHART, MO",MODERATE,YES,2024-11-21,7:20AM,JEFFERSON,SOUTHBOUND METROPOLITAN BOULEVARD AT MONTICELLO ROAD,C
JUVENILE,17,"IMPERIAL, MO",MODERATE,YES,2024-11-21,7:20AM,JEFFERSON,SOUTHBOUND METROPOLITAN BOULEVARD AT MONTICELLO ROAD,C
JUVENILE,15,"IMPERIAL, MO",MODERATE,YES,2024-11-21,7:20AM,JEFFERSON,SOUTHBOUND METROPOLITAN BOULEVARD AT MONTICELLO ROAD,C
ADULT,40,"DESOTO, MO",MODERATE,YES,2024-11-21,7:15AM,JEFFERSON,"FOUNTAIN CITY ROAD, EAST OF GREENHOUSE ROAD",C
ADULT,62,"ROBERTSVILLE, MO",MINOR,YES,2024-11-21,5:55AM,JEFFERSON,EASTBOUND MISSOURI 30 WEST OF OLD SUGAR CREEK ROAD,C
ADULT,28,"ST CLAIR, MO",NO INJURY,YES,2024-11-21,5:55AM,JEFFERSON,EASTBOUND MISSOURI 30 WEST OF OLD SUGAR CREEK ROAD,C
ADULT,44,"HAZELWOOD, MO",MINOR,YES,2024-11-20,9:33PM,ST. LOUIS,SOUTHBOUND INTERSTATE 270 RAMP TO MISSOURI 180,C
ADULT,27,"UNION, MO",MINOR,NO,2024-11-20,6:19PM,ST. LOUIS,INTERSTATE 44 WEST OF US 50,C
ADULT,24,"BETHANY, MO",MINOR,NO,2024-11-20,6:19PM,ST. LOUIS,INTERSTATE 44 WEST OF US 50,C
ADULT,39,"FENTON, MO",NO INJURY,YES,2024-11-20,6:19PM,ST. LOUIS,INTERSTATE 44 WEST OF US 50,C
JUVENILE,2,"BETHANY, MO",MINOR,YES,2024-11-20,6:19PM,ST. LOUIS,INTERSTATE 44 WEST OF US 50,C
JUVENILE,17,"STE GENEVIEVE, MO",NO INJURY,YES,2024-11-20,5:40PM,JEFFERSON,SOUTHBOUND INTERSTATE 55 SOUTH OF US 67,C
JUVENILE,17,"SAINTE GENEVIEVE, MO",MINOR,YES,2024-11-20,5:40PM,JEFFERSON,SOUTHBOUND INTERSTATE 55 SOUTH OF US 67,C
ADULT,39,"FESTUS, MO",NO INJURY,YES,2024-11-20,5:40PM,JEFFERSON,SOUTHBOUND INTERSTATE 55 SOUTH OF US 67,C
